checksum_http_service=LISTENING
checksum_http_port=19411
checksum_http_workers=1
checksum_http_mode=emulate
checksum_http_runtime=/Users/danielscai/Documents/workspace/navpay/navpay-phonepe/src/services/checksum/runtime
checksum_http_library=/Users/danielscai/Documents/workspace/navpay/navpay-phonepe/src/services/checksum/runtime/lib/arm64-v8a/libphonepe-cryptography-support-lib.so
WARNING: A restricted method in java.lang.System has been called
WARNING: java.lang.System::loadLibrary has been called by org.scijava.nativelib.NativeLoader in an unnamed module (file:/Users/danielscai/Documents/workspace/navpay/navpay-phonepe/src/services/checksum/target/checksum-service.jar)
WARNING: Use --enable-native-access=ALL-UNNAMED to avoid a warning for callers in this module
WARNING: Restricted methods will be blocked in a future release unless native access is enabled

[pool-1-thread-1] INFO com.github.unidbg.linux.AndroidSyscallHandler - Return default pipe pair.
checksum_perf construct_ms=0.000 execute_ms=12.891 prepare_ms=0.001 checksum_ms=10.761 jnmcs_ms=10.714 reused=true
checksum_perf construct_ms=0.000 execute_ms=5.455 prepare_ms=0.001 checksum_ms=5.104 jnmcs_ms=5.040 reused=true
checksum_perf construct_ms=0.000 execute_ms=4.535 prepare_ms=0.001 checksum_ms=4.105 jnmcs_ms=4.018 reused=true
checksum_perf construct_ms=0.000 execute_ms=6.135 prepare_ms=0.001 checksum_ms=5.840 jnmcs_ms=5.803 reused=true
checksum_perf construct_ms=0.000 execute_ms=6.769 prepare_ms=0.001 checksum_ms=6.384 jnmcs_ms=6.315 reused=true
checksum_perf construct_ms=0.000 execute_ms=9.898 prepare_ms=0.001 checksum_ms=9.103 jnmcs_ms=8.994 reused=true
checksum_perf construct_ms=0.000 execute_ms=5.713 prepare_ms=0.001 checksum_ms=5.067 jnmcs_ms=5.015 reused=true
checksum_perf construct_ms=0.000 execute_ms=5.506 prepare_ms=0.001 checksum_ms=4.805 jnmcs_ms=4.771 reused=true
checksum_perf construct_ms=0.000 execute_ms=2.701 prepare_ms=0.000 checksum_ms=2.430 jnmcs_ms=2.413 reused=true
checksum_perf construct_ms=0.000 execute_ms=7.044 prepare_ms=0.001 checksum_ms=4.787 jnmcs_ms=4.728 reused=true
checksum_perf construct_ms=0.000 execute_ms=4.789 prepare_ms=0.001 checksum_ms=4.092 jnmcs_ms=4.039 reused=true
checksum_perf construct_ms=0.000 execute_ms=7.502 prepare_ms=0.001 checksum_ms=7.055 jnmcs_ms=6.985 reused=true
checksum_perf construct_ms=0.000 execute_ms=7.319 prepare_ms=0.001 checksum_ms=6.707 jnmcs_ms=6.636 reused=true
checksum_perf construct_ms=0.000 execute_ms=6.284 prepare_ms=0.001 checksum_ms=4.785 jnmcs_ms=4.561 reused=true
checksum_perf construct_ms=0.000 execute_ms=7.269 prepare_ms=0.001 checksum_ms=6.663 jnmcs_ms=6.595 reused=true
checksum_perf construct_ms=0.000 execute_ms=9.138 prepare_ms=0.010 checksum_ms=5.604 jnmcs_ms=5.545 reused=true
checksum_perf construct_ms=0.000 execute_ms=2.708 prepare_ms=0.001 checksum_ms=2.466 jnmcs_ms=2.449 reused=true
checksum_perf construct_ms=0.000 execute_ms=4.141 prepare_ms=0.007 checksum_ms=3.344 jnmcs_ms=3.324 reused=true
checksum_perf construct_ms=0.000 execute_ms=2.750 prepare_ms=0.001 checksum_ms=2.493 jnmcs_ms=2.479 reused=true
checksum_perf construct_ms=0.000 execute_ms=6.045 prepare_ms=0.001 checksum_ms=5.574 jnmcs_ms=5.473 reused=true
checksum_perf construct_ms=0.000 execute_ms=7.334 prepare_ms=0.001 checksum_ms=7.059 jnmcs_ms=6.970 reused=true
checksum_perf construct_ms=0.000 execute_ms=16.749 prepare_ms=0.001 checksum_ms=16.338 jnmcs_ms=16.290 reused=true
checksum_perf construct_ms=0.000 execute_ms=6.333 prepare_ms=0.001 checksum_ms=5.364 jnmcs_ms=5.294 reused=true
